pokemon_id,move_id,level,signature
1,453,1,0
1,359,3,0
1,244,7,0
1,260,9,0
1,487,13,0
1,254,13,0
1,456,15,0
1,251,19,0
1,450,21,0
1,360,25,0
1,335,27,0
1,262,31,0
1,259,33,0
1,252,37,0
2,359,3,0
2,244,7,0
2,260,9,0
2,487,13,0
2,254,13,0
2,456,15,0
2,251,20,0
2,450,23,0
2,360,28,0
2,335,31,0
2,262,36,0
2,259,39,0
2,255,44,0
3,359,3,0
3,244,7,0
3,260,9,0
3,487,13,0
3,254,13,0
3,456,15,0
3,251,20,0
3,450,23,0
3,360,28,0
3,335,31,0
3,249,32,0
3,262,39,0
3,259,45,0
3,255,53,0
4,453,1,0
4,359,3,0
4,251,6,0
4,487,9,0
4,259,12,0
4,537,17,0
4,245,20,0
4,392,23,0
4,450,28,0
4,517,31,0
4,314,34,0
4,418,39,0
4,227,42,0
4,255,45,0
5,359,3,0
5,251,6,0
5,487,9,0
5,259,12,0
5,537,17,0
5,245,20,0
5,392,23,0
5,450,28,0
5,517,31,0
5,314,34,0
5,418,39,0
5,227,42,0
5,255,45,0
6,359,3,0
6,251,6,0
6,487,9,0
6,259,12,0
6,537,18,0
6,245,22,0
6,392,26,0
6,249,32,0
6,450,34,0
6,517,40,0
6,314,46,0
6,418,54,0
6,227,60,0
6,255,66,0
7,400,1,0
7,378,1,0
7,226,5,0
7,404,9,0
7,246,13,0
7,47,17,0
7,234,21,0
7,496,25,0
7,431,29,0
7,121,33,0
7,231,37,0
7,139,41,0
7,340,45,0
7,421,49,0
8,226,5,0
8,404,9,0
8,246,13,0
8,6,16,0
8,47,18,0
8,241,23,0
8,496,28,0
8,431,33,0
8,121,38,0
8,25,43,0
8,347,48,0
8,139,53,0
8,242,58,0
8,421,63,0
9,226,5,0
9,404,9,0
9,246,13,0
9,6,16,0
9,47,18,0
9,241,23,0
9,496,28,0
9,431,33,0
9,65,36,0
9,121,39,0
9,25,45,0
9,347,51,0
9,139,57,0
9,242,63,0
9,421,69,0
10,453,1,0
10,610,5,0
10,226,9,0
10,251,13,0
10,210,17,0
10,28,21,0
10,246,25,0
10,244,29,0
10,259,33,0
10,29,37,0
10,234,41,0
10,242,45,0
11,610,5,0
11,226,9,0
11,251,13,0
11,210,17,0
11,28,22,0
11,246,27,0
11,244,32,0
11,259,37,0
11,29,42,0
11,234,47,0
11,242,52,0
12,610,5,0
12,226,9,0
12,251,13,0
12,210,17,0
12,28,22,0
12,246,27,0
12,270,32,0
12,244,33,0
12,259,39,0
12,29,45,0
12,234,51,0
12,242,57,0
13,453,1,0
13,378,4,0
13,260,7,0
13,470,10,0
13,360,13,0
13,243,16,0
13,244,19,0
13,246,22,0
13,431,25,0
13,241,28,0
13,478,31,0
13,234,34,0
13,471,37,0
13,480,40,0
13,242,43,0
14,378,4,0
14,260,7,0
14,470,10,0
14,360,13,0
14,243,16,0
14,244,20,0
14,246,24,0
14,431,28,0
14,241,32,0
14,478,36,0
14,234,40,0
14,471,44,0
14,480,48,0
14,242,52,0
15,378,4,0
15,260,7,0
15,470,10,0
15,360,13,0
15,243,16,0
15,244,20,0
15,246,24,0
15,431,28,0
15,241,32,0
15,478,38,0
15,234,44,0
15,471,50,0
15,480,56,0
15,242,62,0
16,453,1,0
16,359,4,0
16,260,5,0
16,558,8,0
16,28,11,0
16,244,15,0
16,11,18,0
16,456,27,0
16,252,32,0
16,275,35,0
16,116,39,0
16,314,42,0
16,396,45,0
16,261,48,0
17,260,5,0
17,558,8,0
17,28,11,0
17,244,15,0
17,11,20,0
17,247,26,0
17,456,30,0
17,252,35,0
17,275,39,0
17,116,44,0
17,314,48,0
17,396,52,0
17,261,55,0
18,260,5,0
18,558,8,0
18,28,11,0
18,244,15,0
18,11,20,0
18,247,26,0
18,456,30,0
18,252,35,0
18,256,36,0
18,275,41,0
18,116,44,0
18,314,48,0
18,396,52,0
18,261,55,0
18,130,60,0
18,357,70,0
19,420,1,0
19,359,3,0
19,158,7,0
19,435,10,0
19,61,16,0
19,419,19,0
19,162,25,0
19,166,28,0
19,432,34,0
19,169,37,0
19,165,43,0
19,175,46,0
20,158,7,0
20,435,10,0
20,61,17,0
20,419,21,0
20,162,28,0
20,166,32,0
20,432,39,0
20,169,43,0
20,165,50,0
20,175,54,0
21,158,7,0
21,435,10,0
21,61,17,0
21,419,21,0
21,162,28,0
21,166,32,0
21,207,36,0
21,432,41,0
21,169,47,0
21,165,56,0
21,173,71,0
21,170,77,0
22,453,1,0
22,378,1,0
22,435,6,0
22,158,10,0
22,404,13,0
22,168,19,0
22,330,22,0
22,167,28,0
22,451,31,0
22,176,37,0
22,169,40,0
22,175,46,0
22,558,49,0
22,335,55,0
22,159,58,0
23,435,6,0
23,158,10,0
23,404,13,0
23,168,20,0
23,330,24,0
23,451,31,0
23,167,35,0
23,176,42,0
23,169,46,0
23,175,53,0
23,558,57,0
23,335,64,0
23,159,68,0
24,435,6,0
24,158,10,0
24,404,13,0
24,168,20,0
24,330,24,0
24,451,31,0
24,167,35,0
24,176,43,0
24,169,48,0
24,558,61,0
24,335,69,0
24,159,74,0
25,359,1,0
25,420,1,0
25,158,5,0
25,280,10,0
25,201,14,0
25,165,19,0
25,404,23,0
25,166,28,0
25,351,32,0
25,432,37,0
25,199,41,0
25,169,46,0
26,158,5,0
26,280,10,0
26,201,14,0
26,122,16,0
26,167,20,0
26,404,25,0
26,116,31,0
26,351,36,0
26,432,42,0
26,199,47,0
26,147,53,0
26,170,58,0
27,158,5,0
27,280,10,0
27,201,14,0
27,122,16,0
27,167,20,0
27,404,25,0
27,116,31,0
27,156,36,0
27,351,37,0
27,432,44,0
27,191,50,0
27,147,57,0
27,170,63,0
28,378,1,0
28,420,1,0
28,158,7,0
28,53,9,0
28,356,15,0
28,168,17,0
28,41,23,0
28,56,25,0
28,345,31,0
28,165,33,0
28,185,39,0
28,430,41,0
28,169,47,0
29,158,7,0
29,53,9,0
29,136,14,0
29,356,16,0
29,168,19,0
29,348,26,0
29,56,29,0
29,118,36,0
29,165,39,0
29,185,46,0
29,430,49,0
29,170,56,0
30,158,7,0
30,53,9,0
30,136,14,0
30,356,16,0
30,168,19,0
30,348,26,0
30,46,29,0
30,118,36,0
30,165,42,0
30,185,52,0
30,500,58,0
30,170,68,0
31,453,1,0
31,455,3,0
31,158,7,0
31,395,9,0
31,330,13,0
31,167,15,0
31,491,19,0
31,558,21,0
31,456,25,0
31,172,27,0
31,26,31,0
31,169,33,0
31,550,37,0
31,415,39,0
31,170,43,0
32,455,3,0
32,158,7,0
32,395,9,0
32,330,13,0
32,167,15,0
32,113,17,0
32,491,20,0
32,558,23,0
32,456,28,0
32,172,31,0
32,26,36,0
32,169,39,0
32,550,44,0
32,415,47,0
32,170,52,0
33,455,3,0
33,158,7,0
33,395,9,0
33,330,13,0
33,167,15,0
33,113,17,0
33,491,20,0
33,558,23,0
33,456,28,0
33,172,31,0
33,26,38,0
33,169,43,0
33,550,50,0
33,415,55,0
33,170,62,0
34,420,1,0
34,455,3,0
34,158,5,0
34,372,11,0
34,167,14,0
34,529,17,0
34,165,20,0
34,381,25,0
34,517,27,0
34,534,31,0
34,169,35,0
34,184,38,0
34,530,41,0
34,182,43,0
34,521,46,0
34,161,48,0
35,158,5,0
35,372,11,0
35,167,14,0
35,529,18,0
35,165,22,0
35,381,27,0
35,517,30,0
35,534,34,0
35,169,41,0
35,184,45,0
35,530,48,0
35,182,51,0
35,521,53,0
35,161,55,0
36,158,5,0
36,372,11,0
36,167,14,0
36,529,18,0
36,165,22,0
36,381,27,0
36,517,30,0
36,534,34,0
36,178,36,0
36,169,42,0
36,184,47,0
36,530,51,0
36,182,55,0
36,521,56,0
36,161,61,0
36,505,69,0
37,453,1,0
37,455,4,0
37,587,7,0
37,610,10,0
37,601,13,0
37,28,16,0
37,406,19,0
37,402,22,0
37,603,25,0
37,585,28,0
37,429,31,0
37,571,34,0
37,596,37,0
37,593,40,0
38,455,4,0
38,587,7,0
38,610,10,0
38,601,13,0
38,28,16,0
38,406,20,0
38,402,24,0
38,603,28,0
38,585,32,0
38,429,36,0
38,571,40,0
38,596,44,0
38,593,48,0
39,455,4,0
39,587,7,0
39,610,10,0
39,601,13,0
39,28,16,0
39,406,20,0
39,402,24,0
39,603,28,0
39,585,32,0
39,429,39,0
39,571,46,0
39,596,53,0
39,593,60,0
40,378,1,0
40,420,1,0
40,601,6,0
40,405,8,0
40,28,13,0
40,419,15,0
40,294,20,0
40,349,22,0
40,29,27,0
40,319,29,0
40,432,34,0
40,421,36,0
40,459,41,0
40,585,43,0
40,150,48,0
40,593,50,0
41,601,6,0
41,405,8,0
41,28,13,0
41,419,15,0
41,294,21,0
41,349,24,0
41,29,30,0
41,319,33,0
41,432,39,0
41,421,42,0
41,459,48,0
41,585,51,0
41,150,57,0
41,593,60,0
42,601,6,0
42,405,8,0
42,28,13,0
42,419,15,0
42,294,21,0
42,349,24,0
42,496,30,0
42,29,32,0
42,319,37,0
42,432,45,0
42,421,50,0
42,459,58,0
42,585,63,0
42,150,71,0
42,593,76,0
43,359,1,0
43,453,1,0
43,601,4,0
43,277,9,0
43,353,12,0
43,311,17,0
43,276,20,0
43,555,25,0
43,402,28,0
43,608,33,0
43,456,36,0
43,593,41,0
43,340,44,0
44,601,4,0
44,277,9,0
44,353,12,0
44,275,16,0
44,311,18,0
44,274,22,0
44,554,28,0
44,402,32,0
44,594,38,0
44,456,42,0
44,270,48,0
44,340,52,0
45,601,4,0
45,277,9,0
45,353,12,0
45,275,16,0
45,311,18,0
45,274,22,0
45,554,28,0
45,402,32,0
45,594,39,0
45,456,44,0
45,270,51,0
45,340,56,0
45,130,63,0
46,400,1,0
46,359,4,0
46,587,8,0
46,605,11,0
46,201,15,0
46,588,19,0
46,311,24,0
46,355,28,0
46,586,33,0
46,608,37,0
46,300,42,0
46,194,46,0
46,593,51,0
47,359,4,0
47,587,8,0
47,605,11,0
47,201,15,0
47,577,16,0
47,588,19,0
47,311,24,0
47,355,28,0
47,586,33,0
47,608,37,0
47,300,42,0
47,194,46,0
47,593,51,0
48,359,4,0
48,587,8,0
48,452,11,0
48,201,15,0
48,577,16,0
48,588,19,0
48,448,24,0
48,355,28,0
48,586,33,0
48,583,36,0
48,608,39,0
48,300,46,0
48,194,52,0
48,593,59,0
49,453,1,0
49,455,5,0
49,601,7,0
49,605,11,0
49,351,13,0
49,597,17,0
49,6,19,0
49,603,23,0
49,140,25,0
49,583,29,0
49,339,31,0
49,585,35,0
49,413,37,0
49,452,41,0
49,593,43,0
50,455,5,0
50,601,7,0
50,605,11,0
50,351,13,0
50,597,17,0
50,6,20,0
50,603,25,0
50,140,28,0
50,583,33,0
50,339,36,0
50,585,41,0
50,413,44,0
50,452,49,0
50,593,52,0
51,455,5,0
51,601,7,0
51,605,11,0
51,351,13,0
51,597,17,0
51,6,20,0
51,603,25,0
51,140,28,0
51,583,33,0
51,432,36,0
51,339,38,0
51,585,45,0
51,413,50,0
51,452,57,0
51,593,62,0
52,400,1,0
52,359,3,0
52,587,5,0
52,404,8,0
52,214,10,0
52,603,14,0
52,435,18,0
52,417,21,0
52,36,25,0
52,560,29,0
52,445,35,0
52,190,39,0
52,334,43,0
52,593,48,0
53,587,5,0
53,404,8,0
53,214,10,0
53,603,14,0
53,435,20,0
53,417,23,0
53,36,28,0
53,560,33,0
53,445,38,0
53,190,44,0
53,334,48,0
53,593,55,0
54,587,5,0
54,404,8,0
54,214,10,0
54,603,14,0
54,435,20,0
54,223,23,0
54,281,28,0
54,33,33,0
54,604,36,0
54,445,43,0
54,504,49,0
54,334,52,0
54,290,56,0
54,593,60,0
54,43,70,0
55,20,1,0
55,453,1,0
55,2,15,0
56,363,7,0
57,501,10,0
57,487,12,0
57,254,12,0
57,258,12,0
57,197,16,0
57,447,18,0
57,467,22,0
57,529,24,0
57,16,28,0
57,206,30,0
57,14,34,0
57,418,36,0
57,317,40,0
57,3,42,0
57,13,46,0
58,485,1,0
58,20,1,0
58,2,15,0
59,363,7,0
60,355,10,0
60,351,13,0
60,23,16,0
60,405,19,0
60,47,22,0
60,493,25,0
60,11,28,0
60,496,31,0
60,26,34,0
60,484,37,0
60,340,40,0
61,20,1,0
61,453,1,0
61,2,8,0
