pokemon_id,tm_hm_id
1,6
1,9
1,10
1,11
1,16
1,17
1,20
1,21
1,22
1,27
1,32
1,36
1,42
1,44
1,45
1,48
1,49
1,53
1,70
1,75
1,86
1,87
1,88
1,90
1,94
1,96
1,100
1,101
1,104
2,6
2,9
2,10
2,11
2,16
2,17
2,20
2,21
2,22
2,27
2,32
2,36
2,42
2,44
2,45
2,48
2,49
2,53
2,70
2,75
2,86
2,87
2,88
2,90
2,94
2,96
2,100
2,101
2,104
3,5
3,6
3,9
3,10
3,11
3,15
3,16
3,17
3,20
3,21
3,22
3,26
3,27
3,32
3,36
3,42
3,44
3,45
3,48
3,49
3,53
3,68
3,70
3,75
3,78
3,86
3,87
3,88
3,90
3,94
3,96
3,100
3,101
3,104
4,6
4,10
4,11
4,16
4,17
4,20
4,21
4,22
4,27
4,32
4,33
4,42
4,44
4,45
4,48
4,49
4,53
4,70
4,75
4,86
4,87
4,88
4,90
4,96
4,101
5,6
5,10
5,11
5,16
5,17
5,20
5,21
5,22
5,27
5,32
5,33
5,42
5,44
5,45
5,48
5,49
5,53
5,70
5,75
5,86
5,87
5,88
5,90
5,94
5,96
5,101
5,104
6,6
6,10
6,11
6,15
6,16
6,17
6,20
6,21
6,22
6,26
6,27
6,32
6,33
6,42
6,44
6,45
6,48
6,49
6,53
6,68
6,70
6,75
6,78
6,82
6,86
6,87
6,88
6,90
6,94
6,96
6,101
6,104
7,6
7,10
7,11
7,17
7,20
7,21
7,22
7,27
7,28
7,31
7,32
7,39
7,40
7,42
7,44
7,45
7,48
7,53
7,56
7,62
7,70
7,75
7,80
7,86
7,87
7,88
7,90
7,94
7,96
7,98
7,100
7,101
7,104
8,6
8,10
8,11
8,17
8,20
8,21
8,22
8,27
8,28
8,31
8,32
8,39
8,40
8,42
8,44
8,45
8,47
8,48
8,53
8,54
8,56
8,62
8,70
8,75
8,80
8,81
8,86
8,87
8,88
8,90
8,94
8,96
8,98
8,100
8,101
8,104
9,1
9,2
9,5
9,6
9,10
9,11
9,15
9,17
9,20
9,21
9,22
9,26
9,27
9,28
9,31
9,32
9,39
9,40
9,42
9,44
9,45
9,47
9,48
9,52
9,53
9,54
9,56
9,62
9,68
9,70
9,75
9,78
9,80
9,81
9,86
9,87
9,88
9,90
9,94
9,96
9,98
9,100
9,101
9,104
10,6
10,10
10,11
10,16
10,17
10,20
10,21
10,22
10,27
10,32
10,33
10,42
10,44
10,45
10,48
10,53
10,70
10,75
10,86
10,87
10,88
10,90
10,94
10,101
10,104
11,6
11,10
11,11
11,16
11,17
11,20
11,21
11,22
11,27
11,32
11,33
11,42
11,44
11,45
11,48
11,53
11,70
11,75
11,86
11,87
11,88
11,90
11,94
11,101
11,104
12,5
12,6
12,10
12,11
12,15
12,16
12,17
12,20
12,21
12,22
12,26
12,27
12,32
12,33
12,37
12,39
12,42
12,44
12,45
12,48
12,53
12,68
12,69
12,70
12,71
12,75
12,78
12,80
12,86
12,87
12,88
12,90
12,94
12,101
12,104
13,4
13,6
13,10
13,11
13,12
13,16
13,17
13,20
13,21
13,22
13,27
13,32
13,33
13,40
