pokemon_id,move_id
1,99
1,188
1,210
1,234
1,237
1,240
1,242
1,245
1,249
1,250
1,341
1,393
1,418
1,429
1,488
1,498
1,517
4,119
4,227
4,237
4,238
4,240
4,242
4,244
4,260
4,314
4,349
4,393
4,411
4,471
4,511
4,549
7,29
7,64
7,122
7,228
7,237
7,238
7,242
7,244
7,245
7,259
7,262
7,276
7,327
7,340
7,392
7,407
10,150
10,238
10,252
10,262
10,269
10,279
10,314
10,335
10,360
10,440
10,442
10,449
10,459
10,460
10,498
10,563
13,47
13,69
13,238
13,245
13,317
13,358
13,383
13,392
13,450
13,524
13,573
16,139
16,210
16,259
16,281
16,309
16,330
16,558
19,27
19,28
19,29
19,59
19,62
19,66
19,119
19,128
19,170
19,188
19,309
19,452
19,549
19,554
19,577
22,122
22,141
22,166
22,170
22,326
22,327
22,335
22,353
22,356
22,372
22,393
22,404
22,459
22,504
25,43
25,119
25,134
25,141
25,166
25,195
25,210
25,308
25,327
25,341
25,348
25,377
25,434
25,448
25,496
25,554
28,91
28,119
28,122
28,128
28,139
28,149
28,156
28,164
28,173
28,305
28,339
28,346
28,351
28,367
31,51
31,150
31,210
31,273
31,314
31,326
31,340
31,433
31,459
31,472
31,570
34,101
34,173
34,468
34,514
34,520
37,60
37,114
37,276
37,290
37,300
37,346
37,349
37,353
37,411
37,472
37,524
37,583
37,584
37,586
37,594
37,606
40,29
40,35
40,58
40,59
40,276
40,295
40,459
40,549
40,554
40,577
40,593
40,605
43,28
43,119
43,210
43,274
43,283
43,291
43,335
43,411
43,443
43,464
43,472
43,488
43,499
43,524
43,549
43,563
43,608
46,276
46,277
46,311
46,333
46,349
46,436
46,447
46,472
46,496
46,584
46,593
49,26
49,43
49,121
49,189
49,325
49,421
49,463
49,586
52,276
52,310
52,316
52,389
52,493
52,605
61,16
61,189
61,308
61,316
61,382
61,389
61,407
61,421
61,496
64,11
64,23
64,281
64,416
64,456
64,493
67,14
67,258
67,487
75,33
75,47
75,188
75,189
75,191
75,193
75,353
75,464
75,582
78,47
78,121
78,140
78,195
78,199
78,203
78,208
78,280
78,335
78,353
78,355
78,464
78,582
81,43
81,310
81,381
81,391
81,464
81,468
81,514
81,582
84,50
84,139
84,206
87,27
87,47
87,99
87,119
87,319
87,331
87,341
87,351
87,447
87,456
87,486
87,494
87,573
90,27
90,51
90,119
90,331
90,447
90,456
90,494
90,498
90,501
93,33
93,41
93,47
93,191
93,197
93,210
93,404
93,467
93,494
93,514
93,548
96,33
96,34
96,46
96,108
96,317
96,326
96,377
96,398
96,401
96,433
96,468
96,506
96,511
99,119
99,146
99,227
99,274
99,341
99,366
99,367
99,377
99,386
99,392
99,401
99,445
99,506
102,34
102,102
102,117
102,130
102,340
102,434
102,435
102,436
102,448
102,456
102,504
105,47
105,88
105,99
105,162
105,214
105,277
105,280
105,294
105,304
105,341
105,372
105,472
111,43
111,47
111,130
111,210
111,304
111,314
111,327
111,432
111,433
111,436
111,460
114,99
114,240
114,251
114,259
114,304
114,349
114,393
114,422
114,452
114,458
114,460
118,9
118,228
118,234
118,240
118,245
118,250
118,259
118,262
118,339
118,392
118,452
118,460
118,466
118,475
118,476
118,477
118,537
121,227
121,229
121,238
121,252
121,262
121,335
121,339
121,341
121,367
121,403
121,498
121,501
121,537
124,119
124,234
124,244
124,251
124,259
124,349
