pokemon_id,habitat_id
1,1
2,1
3,1
4,1
5,1
6,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
31,1
34,1
35,1
36,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
111,1
112,1
113,1
114,1
115,1
116,1
118,1
119,1
120,1
121,1
122,1
123,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
148,1
149,1
150,1
173,1
174,1
175,1
176,1
177,1
178,1
180,1
181,1
183,1
184,1
185,1
216,1
217,1
218,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
294,1
295,1
296,1
297,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
310,1
311,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
324,1
325,1
334,1
335,1
343,1
346,1
348,1
356,1
357,1
364,1
366,1
368,1
370,1
371,1
373,1
374,1
375,1
376,1
377,1
379,1
384,1
385,1
468,1
469,1
474,1
475,1
478,1
479,1
480,1
481,1
486,1
487,1
488,1
501,1
502,1
510,1
511,1
512,1
513,1
514,1
517,1
518,1
521,1
522,1
529,1
530,1
533,1
534,1
537,1
538,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
553,1
554,1
555,1
556,1
557,1
558,1
560,1
561,1
562,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
574,1
575,1
576,1
578,1
579,1
582,1
594,1
595,1
596,1
601,1
603,1
605,1
609,1
610,1
611,1
612,1
617,1
619,1
620,1
621,1
623,1
624,1
625,1
627,1
670,1
695,1
696,1
699,1
700,1
701,1
702,1
703,1
704,1
707,1
708,1
715,1
1,2
2,2
3,2
4,2
5,2
6,2
16,2
17,2
18,2
25,2
26,2
27,2
31,2
32,2
33,2
34,2
35,2
36,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
96,2
97,2
98,2
99,2
100,2
101,2
105,2
106,2
107,2
114,2
115,2
116,2
121,2
122,2
123,2
130,2
131,2
132,2
133,2
134,2
139,2
140,2
141,2
142,2
143,2
144,2
148,2
149,2
150,2
198,2
199,2
222,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
264,2
265,2
268,2
269,2
294,2
295,2
298,2
299,2
300,2
306,2
307,2
310,2
311,2
312,2
313,2
316,2
317,2
322,2
323,2
324,2
325,2
330,2
331,2
333,2
340,2
341,2
342,2
343,2
356,2
366,2
367,2
368,2
372,2
373,2
376,2
377,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
403,2
404,2
447,2
448,2
468,2
469,2
470,2
471,2
478,2
479,2
481,2
484,2
485,2
486,2
487,2
488,2
495,2
496,2
501,2
502,2
511,2
512,2
517,2
518,2
521,2
522,2
529,2
547,2
548,2
549,2
550,2
559,2
561,2
562,2
563,2
564,2
565,2
567,2
568,2
569,2
573,2
599,2
603,2
609,2
610,2
611,2
612,2
617,2
619,2
623,2
625,2
627,2
677,2
679,2
695,2
696,2
702,2
703,2
1,3
2,3
3,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
52,3
53,3
54,3
70,3
71,3
72,3
73,3
74,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
127,3
128,3
129,3
130,3
131,3
132,3
234,3
235,3
236,3
262,3
263,3
268,3
269,3
272,3
273,3
274,3
275,3
276,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
306,3
320,3
321,3
334,3
335,3
368,3
369,3
370,3
374,3
375,3
378,3
379,3
384,3
385,3
501,3
502,3
517,3
518,3
553,3
554,3
555,3
556,3
557,3
558,3
560,3
573,3
576,3
578,3
579,3
580,3
582,3
611,3
612,3
625,3
627,3
670,3
699,3
700,3
704,3
708,3
10,4
11,4
12,4
40,4
41,4
42,4
43,4
44,4
45,4
52,4
53,4
54,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
154,4
155,4
156,4
157,4
161,4
162,4
163,4
246,4
247,4
288,4
289,4
302,4
322,4
328,4
329,4
330,4
331,4
333,4
